"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_BAS_PO","bas.baswekelijks_ass",34,3220,"PlatBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,21-05-2022 06:00_27,21-05-2022 07:01_41
"OKV_BAS_PO","bas.baswekelijks_ass",34,3200,"DetecteerPakbon","wekelijks","Afgebroken",61,"bestand",162,138,24,3,14-05-2022 06:00_22,14-05-2022 07:01_30
"OKV_BAS_PO","bas.baswekelijks_ass",34,3200,"MasterBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,14-05-2022 06:00_17,14-05-2022 07:01_40
"OKV_BAS_PO","bas.baswekelijks_ass",34,3200,"PlatBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,14-05-2022 06:00_19,14-05-2022 07:01_35
"OKV_UPA_PO","upa.upadagelijks",53,3133,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,21-04-2022 09:00_21,21-04-2022 10:01_28
"OKV_UPA_PO","upa.upadagelijks",53,3133,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,21-04-2022 09:00_17,21-04-2022 10:01_39
"OKV_UPA_PO","upa.upadagelijks",53,3133,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,21-04-2022 09:00_19,21-04-2022 10:01_33
"OKV_UPA_PO","upa.upadagelijks",53,3063,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,05-04-2022 09:00_16,05-04-2022 10:01_24
"OKV_UPA_PO","upa.upadagelijks",53,3063,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,05-04-2022 09:00_12,05-04-2022 10:01_35
"OKV_UPA_PO","upa.upadagelijks",53,3063,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,05-04-2022 09:00_14,05-04-2022 10:01_30
