"OKV_SCHEMA,""DL_NAAM"",""DL_FREQUENTIE_INFO"",""TYPE_DL_NAAM"",""AANTAL_RUNS_PER_BRON"",""AANTAL_RUNS_GOED"",""AANTAL_RUNS_FOUT"",""DL_RUN_ID"",""RUN_FOUT"",""DL_ID"",""PROCES_NAAM"",""PROCES_STATUS"",""START_TIJD"",""EIND_TIJD"",""VERSCHIL"""
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""VerplaatsenBestandenNaarArchiefFolder"",""Klaar"",05-01-2024 02:03_31,05-01-2024 02:03_33,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""VerplaatsenBestandenNaarVerwerkingsFolder"",""Klaar"",05-01-2024 02:01_34,05-01-2024 02:01_36,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""VerwijderParamBestanden"",""Klaar"",05-01-2024 02:06_04,05-01-2024 02:06_05,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""BronzoneHarnas"",""Klaar"",05-01-2024 00:03_39,05-01-2024 00:05_23,2"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""BronzonePreProces"",""Klaar"",05-01-2024 00:03_44,05-01-2024 00:03_47,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""ControlerenPakbon"",""Klaar"",05-01-2024 00:02_19,05-01-2024 00:02_30,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""ControlerenStaging"",""Klaar"",05-01-2024 00:03_20,05-01-2024 00:03_31,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Creatie delta tabel"",""Klaar"",05-01-2024 00:04_09,05-01-2024 00:04_13,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Creatie technische staging tabellen"",""Klaar"",05-01-2024 00:03_55,05-01-2024 00:04_07,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""DetecteerPakbon"",""Klaar"",05-01-2024 00:01_14,05-01-2024 00:01_28,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""GenereerSchemaFile"",""Klaar"",05-01-2024 00:02_37,05-01-2024 00:02_41,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""GenereerSchemaFiles"",""Klaar"",05-01-2024 00:02_34,05-01-2024 00:02_42,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""GenereerStagingSynonyms"",""Klaar"",05-01-2024 00:03_14,05-01-2024 00:03_18,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""GenereerStagingTabel"",""Klaar"",05-01-2024 00:02_47,05-01-2024 00:02_52,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""GenereerStagingTabellen"",""Klaar"",05-01-2024 00:02_44,05-01-2024 00:02_57,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""InitialiserenBronzone"",""Klaar"",05-01-2024 00:03_49,05-01-2024 00:04_29,1"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""InlezenPakbon"",""Klaar"",05-01-2024 00:01_32,05-01-2024 00:02_18,1"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Laden delta tabel"",""Klaar"",05-01-2024 00:04_57,05-01-2024 00:05_01,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Laden technische HUB staging tabel"",""Klaar"",05-01-2024 00:04_41,05-01-2024 00:04_49,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Laden technische staging tabel"",""Klaar"",05-01-2024 00:04_39,05-01-2024 00:04_48,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""LadenBestand"",""Klaar"",05-01-2024 00:03_06,05-01-2024 00:03_11,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""LadenBestanden"",""Klaar"",05-01-2024 00:02_59,05-01-2024 00:03_12,0"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""LadenBronzone"",""Klaar"",05-01-2024 00:04_31,05-01-2024 00:05_21,1"
"OKV_STORAGE_PO,""storage.storagedagelijks"",""Dagelijks"",""bestand"",495,166,329,10064,1,71,""Maskeering"",""Afgebroken"",05-01-2024 00:03_43,05-01-2024 00:03_43,0"
